#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:040,Pose2,0.05,-0.04,-0.02,0.02,-0.04,-0.04,0.16,0.16,*,*,*,*,*,*,0.05,-0.05,0.1716,0.1716,0.02,-0.02,-0.1452,-0.1452,-0.02,-0.02,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:080,Pose3,0.1,-0.08,-0.04,0.04,-0.08,-0.08,0.32,0.32,*,*,*,*,*,*,0.1,-0.1,0.3432,0.3432,0.04,-0.04,-0.2904,-0.2904,-0.04,-0.04,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:120,Pose4,0.15,-0.12,-0.06,0.06,-0.12,-0.12,0.48,0.48,*,*,*,*,*,*,0.15,-0.15,0.5148,0.5148,0.06,-0.06,-0.4356,-0.4356,-0.06,-0.06,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:160,Pose5,0.2,-0.16,-0.08,0.08,-0.16,-0.16,0.64,0.64,*,*,*,*,*,*,0.2,-0.2,0.6864,0.6864,0.08,-0.08,-0.5808,-0.5808,-0.08,-0.08,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:200,Pose6,0.25,-0.2,-0.1,0.1,-0.2,-0.2,0.8,0.8,*,*,*,*,*,*,0.25,-0.25,0.858,0.858,0.1,-0.1,-0.726,-0.726,-0.1,-0.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:240,Pose7,0.3,-0.24,-0.12,0.12,-0.24,-0.24,0.96,0.96,*,*,*,*,*,*,0.3,-0.3,1.0296,1.0296,0.12,-0.12,-0.8712,-0.8712,-0.12,-0.12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:280,Pose8,0.35,-0.28,-0.14,0.14,-0.28,-0.28,1.12,1.12,*,*,*,*,*,*,0.35,-0.35,1.2012,1.2012,0.14,-0.14,-1.0164,-1.0164,-0.14,-0.14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:320,Pose9,0.4,-0.32,-0.16,0.16,-0.32,-0.32,1.28,1.28,*,*,*,*,*,*,0.35,-0.35,1.3728,1.3728,0.16,-0.16,-1.1616,-1.1616,-0.16,-0.16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:360,Pose10,0.45,-0.36,-0.18,0.18,-0.36,-0.36,1.44,1.44,*,*,*,*,*,*,0.3,-0.3,1.5444,1.5444,0.18,-0.18,-1.3068,-1.3068,-0.18,-0.18,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:400,Pose11,0.5,-0.4,-0.2,0.2,-0.4,-0.4,1.6,1.6,*,*,*,*,*,*,0.25,-0.25,1.716,1.716,0.2,-0.2,-1.452,-1.452,-0.2,-0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
