#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,*,*,*,*,0,0,0,0,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:040,Pose2,*,*,*,*,-0.04,-0.04,0.0858,0.0858,*,*,*,*,*,*,*,*,0.1716,0.1716,0.05,-0.05,-0.0726,-0.0726,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:080,Pose3,*,*,*,*,-0.08,-0.08,0.1716,0.1716,*,*,*,*,*,*,*,*,0.3432,0.3432,0.1,-0.1,-0.1452,-0.1452,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:120,Pose4,*,*,*,*,-0.12,-0.12,0.2574,0.2574,*,*,*,*,*,*,*,*,0.5148,0.5148,0.15,-0.15,-0.2178,-0.2178,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:160,Pose5,*,*,*,*,-0.16,-0.16,0.3432,0.3432,*,*,*,*,*,*,*,*,0.6864,0.6864,0.2,-0.2,-0.2904,-0.2904,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:200,Pose6,*,*,*,*,-0.2,-0.2,0.429,0.429,*,*,*,*,*,*,*,*,0.858,0.858,0.25,-0.25,-0.363,-0.363,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:240,Pose7,*,*,*,*,-0.24,-0.24,0.5148,0.5148,*,*,*,*,*,*,*,*,1.0296,1.0296,0.3,-0.3,-0.4356,-0.4356,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:280,Pose8,*,*,*,*,-0.28,-0.28,0.6006,0.6006,*,*,*,*,*,*,*,*,1.2012,1.2012,0.35,-0.35,-0.5082,-0.5082,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:320,Pose9,*,*,*,*,-0.32,-0.32,0.6864,0.6864,*,*,*,*,*,*,*,*,1.3728,1.3728,0.4,-0.4,-0.5808,-0.5808,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:360,Pose10,*,*,*,*,-0.36,-0.36,0.7722,0.7722,*,*,*,*,*,*,*,*,1.5444,1.5444,0.45,-0.45,-0.6534,-0.6534,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:400,Pose11,*,*,*,*,-0.4,*,0.858,0.858,*,*,*,*,*,*,*,*,1.716,1.716,0.5,-0.5,-0.726,-0.726,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:440,Pose12,*,*,*,*,-0.44,*,0.9438,0.9438,*,*,*,*,*,*,*,*,1.8876,1.8876,*,*,-0.7986,-0.7986,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:480,Pose13,*,*,*,*,-0.48,*,1.0296,1.0296,*,*,*,*,*,*,*,*,2.0592,2.0592,*,*,-0.8712,-0.8712,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:520,Pose14,*,*,*,*,-0.52,*,1.1154,1.1154,*,*,*,*,*,*,*,*,2.085,2.085,*,*,-0.9438,-0.9438,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:560,Pose15,*,*,*,*,-0.56,*,1.2012,1.2012,*,*,*,*,*,*,*,*,*,*,*,*,-1.0164,-1.0164,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:600,Pose16,*,*,*,*,-0.6,*,1.287,1.287,*,*,*,*,*,*,*,*,*,*,*,*,-1.089,-1.089,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
