#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,0.3,0,-0.39,0.39,0.8,0.8,1.4586,1.4586,-1.53,1.53,-1.35,1.35,0.2,-0.2,0.5,-0.5,1.3728,1.3728,0.73,-0.73,-1.76,-1.76,-0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:040,Pose2,0.001,0.001,*,*,0.001,*,*,*,*,*,*,*,*,*,0.101,-0.101,1.602,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:080,Pose3,0.002,0.002,*,*,0.002,*,*,*,*,*,*,*,*,*,0.102,-0.102,1.604,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:120,Pose4,0.003,0.003,*,*,0.003,*,*,*,*,*,*,*,*,*,0.103,-0.103,1.606,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:160,Pose5,0.004,0.004,*,*,0.004,*,*,*,*,*,*,*,*,*,0.104,-0.104,1.608,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:200,Pose6,0.005,0.005,*,*,0.005,*,*,*,*,*,*,*,*,*,0.105,-0.105,1.61,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:240,Pose7,0.006,0.006,*,*,0.006,*,*,*,*,*,*,*,*,*,0.106,-0.106,1.612,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:280,Pose8,0.007,0.007,*,*,0.007,*,*,*,*,*,*,*,*,*,0.107,-0.107,1.614,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:320,Pose9,0.008,0.008,*,0,0.008,*,*,*,*,*,*,*,*,*,0.108,-0.108,1.616,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:360,Pose10,0.009,0.009,*,0.001,0.009,*,*,*,*,*,*,*,*,*,0.109,-0.109,1.618,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:400,Pose11,0.01,0.01,*,0.002,0.01,*,*,*,*,*,*,*,*,*,0.11,-0.11,1.62,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:440,Pose12,0.011,0.011,*,0.003,*,*,*,*,*,*,*,*,*,*,0.111,-0.111,1.622,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:480,Pose13,0.012,0.012,*,0.004,*,*,*,*,*,*,*,*,*,*,0.112,-0.112,1.624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:520,Pose14,0.013,0.013,*,0.005,*,*,*,*,*,*,*,*,*,*,0.113,-0.113,1.626,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:560,Pose15,0.014,0.014,*,0.006,*,0,*,*,*,*,*,*,*,*,0.114,-0.114,1.628,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:600,Pose16,0.015,0.015,*,0.007,*,0.001,*,*,*,*,*,*,*,*,0.115,-0.115,1.63,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:640,Pose17,0.016,0.016,*,0.008,*,0.002,*,*,*,*,*,*,*,*,0.116,-0.116,1.632,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:680,Pose18,0.017,0.017,*,0.009,*,0.003,*,*,*,*,*,*,*,*,0.117,-0.117,1.634,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:720,Pose19,0.018,0.018,*,0.01,*,0.004,*,*,*,*,*,*,*,*,0.118,-0.118,1.636,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:760,Pose20,0.019,0.019,*,*,*,0.005,*,*,*,*,*,*,*,*,0.119,-0.119,1.638,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:800,Pose21,0.02,0.02,0,*,*,0.006,*,*,*,*,*,*,*,*,0.12,-0.12,1.64,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:840,Pose22,*,0.021,0.001,*,*,0.007,*,*,*,*,*,*,*,*,0.121,-0.121,1.638,1.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:880,Pose23,*,0.022,0.002,*,*,0.008,*,*,*,*,*,*,*,*,0.122,-0.122,1.636,1.602,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:920,Pose24,*,0.023,0.003,*,*,0.009,*,*,*,*,*,*,*,*,0.123,-0.123,1.634,1.604,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:960,Pose25,*,0.024,0.004,*,*,0.01,*,*,*,*,*,*,*,*,0.124,-0.124,1.632,1.606,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:000,Pose26,*,0.025,0.005,*,*,*,*,*,*,*,*,*,*,*,*,-0.125,1.63,1.608,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:040,Pose27,*,*,0.006,*,*,*,*,*,*,*,*,*,*,*,*,*,1.628,1.61,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:080,Pose28,*,*,0.007,*,*,*,*,*,*,*,*,*,*,*,*,*,1.626,1.612,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:120,Pose29,*,*,0.008,*,*,*,*,*,*,*,*,*,*,*,*,*,1.624,1.614,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:160,Pose30,*,*,0.009,*,*,*,*,*,*,*,*,*,*,*,*,*,1.622,1.616,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:200,Pose31,*,*,0.01,*,0.01,*,*,*,*,*,*,*,*,*,*,*,1.62,1.618,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:240,Pose32,*,*,*,*,0.009,*,*,*,*,*,*,*,*,*,*,*,1.618,1.62,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:280,Pose33,*,*,*,*,0.008,*,*,*,*,*,*,*,*,*,*,*,1.616,1.622,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:320,Pose34,0.02,*,*,*,0.007,*,*,*,*,*,*,*,*,*,*,*,1.614,1.624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:360,Pose35,0.019,*,*,*,0.006,*,*,*,*,*,*,*,*,*,*,*,1.612,1.626,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:400,Pose36,0.018,*,*,*,0.005,*,*,*,*,*,*,*,*,*,*,*,1.61,1.628,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:440,Pose37,0.017,*,*,*,0.004,*,*,*,*,*,*,*,*,*,*,*,1.608,1.63,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:480,Pose38,0.016,*,*,*,0.003,*,*,*,*,*,*,*,*,*,*,*,1.606,1.632,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
